Id,Price
4567,161356.30628532547
5925,123421.24429948867
960,140069.44282573054
3848,169692.13288896607
746,180409.02639008145
868,345772.63762790384
672,113016.39492711992
2471,198626.5408354901
4510,120699.75293651535
8354,241585.19801812887
6393,180713.24808584794
13270,231213.9106954846
5250,286741.46145452134
16751,173951.02130128242
11404,129543.54334487933
10588,332330.3386648484
14925,189099.01535493304
6791,233439.00327616895
16097,221911.01974012805
16428,352153.2191935001
6945,350713.77161511546
3190,190814.37148123607
15709,471231.56659120665
13155,182824.79830006204
7675,199762.40233009896
14686,228589.2272360326
609,172127.5583017935
11155,124026.56107713576
10869,206108.500245797
15742,182533.37594662257
9245,181484.56725390485
3340,183897.206555477
2359,273046.5543348972
8070,212706.46269494345
13707,130067.10733739426
16079,252366.48502343928
15937,244454.39644419233
14090,177207.39264113005
9008,215333.3002887399
16384,190917.16356875957
11657,254828.78157957373
13151,158662.41571207813
8990,179931.17578023084
11857,191569.4552391194
1565,160876.99462219403
8174,122747.47557165792
9247,236561.31658898722
10478,212520.42702295157
15509,147498.91501633046
8306,194304.39896876787
6642,187655.88515100797
7472,204881.15414683556
15989,135210.32917630204
13682,135340.07949196763
163,258923.58442978066
7076,173376.20519746782
7478,346018.31146533974
3029,192225.36247358634
1814,150044.91602821826
10057,147189.28448892463
15100,194012.62885890965
12694,231888.78476720315
6291,178586.41148608315
12603,197529.38234407824
3218,251992.5971304283
13456,132397.93392457196
10170,241300.40066866958
4530,141885.37388802104
13329,163852.8968584884
4820,140190.6490496922
10896,162557.70197418993
13416,114076.07641751105
2701,225933.71282853477
11265,315495.0192764493
9189,276500.45054809784
1858,185669.05123632163
14536,239629.82702706874
6199,299536.72236691887
14730,154411.1481089306
7510,271618.39273284405
15505,163214.2003143
7446,181055.06618779508
14016,183980.86082741365
14113,110427.73596774304
8721,300605.8333490651
6193,300783.9994157292
5717,177330.00001952954
5427,280493.2085152973
9520,569948.8969315498
6869,101906.7901819162
1658,147381.31210622622
6639,224254.94863166675
6283,186793.97202642605
6257,125426.30948336543
15235,191212.20344316307
902,217815.01455816888
8932,203546.54051753864
16469,344365.07850113936
2825,260757.42413728926
6450,439284.59504616976
11366,176928.05529856708
3801,310706.51786531025
11385,221894.06470940713
1079,201789.30481406834
3202,237521.54463155306
676,191537.73506292325
6185,265088.0340212733
7730,164514.24720382638
2573,182161.58027825376
10978,210566.22676880046
10962,253546.6760533249
8870,204138.2849724208
8496,175341.46904545344
5517,177293.86887667168
927,187120.93987270177
13675,193691.0914589034
1499,222605.92197733236
15536,332664.4071528343
8602,330372.02182415524
12137,398538.7535483671
9865,259549.12484268594
16353,284111.6286239306
15908,226454.65324886714
3944,180823.31567281196
10359,209171.27114634163
15158,213500.41161066803
3259,261532.30072529346
7220,334154.26045738463
13843,211096.79600321635
16736,172807.9535089197
702,244403.9875312211
16401,99547.51390379731
12134,179618.307639122
6918,204565.35403095532
11792,129762.78590884752
3798,140768.51452384476
10395,125773.31955297472
11099,122499.08014276977
7090,199924.62612391065
11260,197826.05034348724
9647,208571.06173131053
2903,361663.8678395777
2071,183823.37392175276
8604,200567.14462173145
9346,212675.7443968492
3945,212546.17997974303
3420,145039.68129113046
10842,128211.93078258651
725,159396.04365558343
13931,213447.93909383737
16330,218399.44379673395
9066,430679.11582542607
3326,316590.9622596581
1556,275980.1823818159
6579,101406.91600084843
13877,138578.1453581674
9857,334157.5939229339
7302,245476.9396975526
5684,184427.848648494
6513,224438.581339268
11342,115112.52176476462
16561,234692.71450172752
6885,176432.77039688907
9308,185736.8407132703
2559,157968.10378451544
6648,190983.16872334422
15260,168482.52218601905
5113,183496.75570123008
16492,195440.223171298
12034,287521.7807101269
7248,191505.41721687416
2171,209046.0108429488
10594,162038.64086982637
13241,196882.63380707454
7032,144682.49268953246
4884,151833.44011572783
903,247702.53508439485
162,148401.83346228197
6566,230727.82548938767
8249,122419.21083152968
13106,198626.0184081937
256,120136.98656880838
7976,165578.5273520165
8575,175760.9687370478
7591,296505.27414419845
3204,255332.84995827917
15804,186808.89623111006
1525,294454.14789413754
9038,201727.8893635081
13628,198128.64826705918
10016,207611.41233997847
10208,241209.04389404756
2008,191490.74942411334
13029,190747.18164318398
5099,128276.82307177139
9923,281842.64696853387
9461,141915.14259243858
11086,165428.3943243347
15057,218900.57668731498
10689,173282.67943171333
2053,243666.17090736007
16630,166863.91802249788
4985,162529.75597790466
13881,231054.95000357792
13225,200152.89791230627
5779,65875.13616611682
10262,188968.13170443865
10762,224394.1652132125
9513,193514.9902400592
11128,155926.04491308995
2074,312667.46287274244
933,200446.55759890386
2780,192971.82337176945
6594,116404.10976254313
15394,361621.25925168855
14863,143298.13757838373
6698,215534.01259146308
1611,292203.4568525165
174,189180.65669657628
5160,211957.46353589304
3295,326373.32793022244
4559,361154.5554481939
8254,175788.1912105488
10228,100872.67834066892
13924,136738.2395093776
15341,249115.81821197883
4353,189413.15097969075
4334,68450.36008950371
1872,162056.25205926673
7823,177190.14487347341
310,147320.80007244524
3704,244109.60940264328
11615,214978.75591039655
6605,209993.42391117383
3381,189648.28731367813
2143,143736.1377813212
3191,243953.79003946335
13980,179439.89482067176
15613,164506.1216524971
10943,257523.11070098964
9654,149728.57706950733
16053,362093.53847915726
14931,216916.66197583574
8299,210238.8830117857
2147,170701.27868613685
11567,431370.6874973233
5905,137297.58719803285
11160,111973.08636805351
8275,147064.8349277762
16398,278209.62298316014
11229,193247.14231669996
10309,161785.76158731294
7340,272915.3427512914
7653,163934.71942122348
272,172439.1625013445
9831,237268.53592869482
5016,140196.83545383954
5968,74315.40985151455
796,242865.7608077057
12123,134440.20736838193
16629,189793.1328482181
2637,174381.40826054808
6194,222593.83553949796
6216,427685.4194133624
14346,157296.4020774107
6428,132436.78990751944
2891,226090.7047440569
84,189381.92938284017
9260,183603.38169975072
15250,133364.71100174566
2348,217639.51637518406
10427,276152.120220056
13230,255772.26363418502
1691,182962.72975669213
8803,128864.04769260797
5464,212208.10419729073
10559,117329.27293652334
16787,298726.7461303117
4278,161608.66367663612
6183,161599.48364263942
12775,168559.38816728976
10104,163343.34071897028
13663,185179.51982190105
9404,254482.15880821866
14724,213539.2464928491
10040,173020.37883937088
4646,195213.55268207096
4754,151222.04224776133
3310,219518.17284927267
2003,192296.90907938968
7312,271619.5056033716
10921,226801.00548808713
13419,283796.3914765428
